class,name,kind,unit,description
stageMetricsReport,numStages,count,records,
stageMetricsReport,numTasks,count,records,
stageMetricsReport,elapsedTime,time,ms,
stageMetricsReport,stageDuration,time,ms,
stageMetricsReport,executorRunTime,time,ms,
stageMetricsReport,executorCpuTime,time,ms,
stageMetricsReport,executorDeserializeTime,time,ms,
stageMetricsReport,executorDeserializeCpuTime,time,ms,
stageMetricsReport,resultSerializationTime,time,ms,
stageMetricsReport,jvmGCTime,time,ms,
stageMetricsReport,shuffleFetchWaitTime,time,ms,
stageMetricsReport,shuffleWriteTime,time,ms,
stageMetricsReport,resultSize,size,bytes,
stageMetricsReport,diskBytesSpilled,size,bytes,
stageMetricsReport,memoryBytesSpilled,size,bytes,
stageMetricsReport,peakExecutionMemory,size,bytes,
stageMetricsReport,recordsRead,count,records,
stageMetricsReport,bytesRead,size,bytes,
stageMetricsReport,recordsWritten,count,records,
stageMetricsReport,bytesWritten,size,bytes,
stageMetricsReport,shuffleRecordsRead,count,records,
stageMetricsReport,shuffleTotalBlocksFetched,count,blocks,
stageMetricsReport,shuffleLocalBlocksFetched,count,blocks,
stageMetricsReport,shuffleRemoteBlocksFetched,count,blocks,
stageMetricsReport,shuffleTotalBytesRead,size,bytes,
stageMetricsReport,shuffleLocalBytesRead,size,bytes,
stageMetricsReport,shuffleRemoteBytesRead,size,bytes,
stageMetricsReport,shuffleRemoteBytesReadToDisk,size,bytes,
stageMetricsReport,shuffleBytesWritten,size,bytes,
stageMetricsReport,shuffleRecordsWritten,count,records,
taskMetricsReport,numtasks,count,records,
taskMetricsReport,elapsedTime,time,ms,
taskMetricsReport,duration,time,ms,
taskMetricsReport,schedulerDelayTime,time,ms,
taskMetricsReport,executorRunTime,time,ms,Elapsed time the executor spent running this task. This includes time fetching shuffle data.
taskMetricsReport,executorCpuTime,time,ms,CPU time the executor spent running this task. This includes time fetching shuffle data.
taskMetricsReport,executorDeserializeTime,time,ms,Elapsed time spent to deserialize this task
taskMetricsReport,executorDeserializeCpuTime,time,ms,CPU time taken on the executor to deserialize this task.
taskMetricsReport,resultSerializationTime,time,ms,Elapsed time spent serializing the task result. 
taskMetricsReport,jvmGCTime,time,ms,Elapsed time the JVM spent in garbage collection while executing this task. 
taskMetricsReport,shuffleFetchWaitTime,time,ms,
taskMetricsReport,shuffleWriteTime,time,ms,
taskMetricsReport,gettingResultTime,time,ms,
taskMetricsReport,resultSize,size,bytes,
taskMetricsReport,diskBytesSpilled,size,bytes,
taskMetricsReport,memoryBytesSpilled,size,bytes,
taskMetricsReport,peakExecutionMemory,size,bytes,
taskMetricsReport,recordsRead,size,records,
taskMetricsReport,bytesRead,size,bytes,
taskMetricsReport,recordsWritten,size,records,
taskMetricsReport,bytesWritten,size,bytes,
taskMetricsReport,shuffleRecordsRead,count,records,
taskMetricsReport,shuffleTotalBlocksFetched,count,blocks,
taskMetricsReport,shuffleLocalBlocksFetched,count,blocks,
taskMetricsReport,shuffleRemoteBlocksFetched,count,blocks,
taskMetricsReport,shuffleTotalBytesRead,size,bytes,
taskMetricsReport,shuffleLocalBytesRead,size,bytes,
taskMetricsReport,shuffleRemoteBytesRead,size,bytes,
taskMetricsReport,shuffleRemoteBytesReadToDisk,size,bytes,
taskMetricsReport,shuffleBytesWritten,size,bytes,
taskMetricsReport,shuffleRecordsWritten,count,records,
