App ID,App Name,AppSuccessful,RunType,AppStartDate,AppDurationSecs,Host,Spark Version,Scala Version,Hadoop Version,os.name,os.version,os.arch,java.version,java.runtime.version,spark.gpu.executor.name,spark.gpu.executor.driverVersion,spark.gpu.executor.cudaVersion,AQE,UCX,StorageType,spark.jars.xgboost4j,spark.jars.xgboost4j-spark,spark.jars.rapids-4-spark,spark.jars.cudf,spark.executor.cores,spark.executor.memory,spark.sql.files.maxPartitionBytes,spark.hadoop.fs.s3a.secret.key,Maximum Onheap Memory,spark.sql.parquet.filterPushdown,Maximum Memory,Java Version,spark.hadoop.fs.s3a.access.key,spark.locality.wait,spark.extraListeners,spark.hadoop.fs.s3a.connection.ssl.enabled,spark.driver.memory,spark.driver.host,spark.hadoop.fs.s3a.connection.maximum,spark.master,java.vm.version,spark.plugins,spark.driver.port,Executor ID,spark.eventLog.enabled,spark.scheduler.mode,spark.executorEnv.UCX_TLS,spark.executorEnv.UCX_CUDA_IPC_CACHE,spark.hadoop.fs.s3a.path.style.access,spark.hadoop.fs.s3a.endpoint,spark.sql.adaptive.enabled,spark.gpu.driver.cudaVersion,spark.jars,Maximum Offheap Memory,spark.executor.id,spark.rapids.sql.enabled,spark.sql.parquet.mergeSchema,AppEndTimestamp,Port,spark.hadoop.fs.s3a.threads.core,spark.submit.deployMode,AppStartTimestamp,spark.submit.pyFiles,spark.executorEnv.UCX_MAX_RNDV_RAILS,spark.executorEnv.UCX_ERROR_SIGNALS,spark.app.name,spark.driver.extraClassPath,spark.gpu.driver.driverVersion,Timestamp,spark.eventLog.dir,spark.jars.spark-measure,spark.hadoop.parquet.enable.summary-metadata,spark.sql.hive.metastorePartitionPruning,spark.gpu.driver.name,spark.executor.extraClassPath,FailureCounts,spark.sparkmeasure.outputFilename,spark.app.id,spark.hadoop.fs.s3a.impl,spark.history.fs.logDirectory,User,spark.executorEnv.UCX_MEMTYPE_CACHE,spark.hadoop.fs.s3a.experimental.input.fadvise,spark.executorEnv.UCX_RNDV_SCHEME
app-20201104183112-0175,TPC-DS Like Bench,True,cpu,2020-11-04 18:31:11.872,56.783,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,37597,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604514728655,45845,1000,client,1604514671872,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604514672757,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q1,app-20201104183112-0175,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
app-20201104183211-0176,TPC-DS Like Bench,True,cpu,2020-11-04 18:32:10.266,36.701,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,37665,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604514766967,33257,1000,client,1604514730266,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604514731169,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q2,app-20201104183211-0176,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
app-20201104183249-0177,TPC-DS Like Bench,True,cpu,2020-11-04 18:32:48.560,60.291,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,38405,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604514828851,42665,1000,client,1604514768560,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604514769458,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q3,app-20201104183249-0177,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
app-20201104183351-0178,TPC-DS Like Bench,True,cpu,2020-11-04 18:33:50.474,247.17,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,40445,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604515077644,45005,1000,client,1604514830474,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604514831336,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q4,app-20201104183351-0178,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
app-20201104183800-0179,TPC-DS Like Bench,True,cpu,2020-11-04 18:37:59.187,84.721,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,40791,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604515163908,43079,1000,client,1604515079187,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604515080056,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q5,app-20201104183800-0179,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
app-20201104183926-0180,TPC-DS Like Bench,True,cpu,2020-11-04 18:39:25.467,59.552,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,38689,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604515225019,39167,1000,client,1604515165467,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604515166368,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q6,app-20201104183926-0180,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
app-20201104184027-0181,TPC-DS Like Bench,True,cpu,2020-11-04 18:40:26.583,53.45,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,35133,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604515280033,35705,1000,client,1604515226583,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604515227456,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q7,app-20201104184027-0181,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
app-20201104184122-0182,TPC-DS Like Bench,True,cpu,2020-11-04 18:41:21.586,36.644,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,43263,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604515318230,44159,1000,client,1604515281586,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604515282478,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q8,app-20201104184122-0182,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
app-20201104184200-0183,TPC-DS Like Bench,True,cpu,2020-11-04 18:41:59.858,149.968,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,41683,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604515469826,35087,1000,client,1604515319858,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604515320758,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q9,app-20201104184200-0183,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
app-20201104184432-0184,TPC-DS Like Bench,True,cpu,2020-11-04 18:44:31.465,64.305,rl-r7525-d32-u38.raplab.nvidia.com,3.0.1,2.12.10,3.2.0,Linux,4.15.0-121-generic,amd64,1.8.0_272,1.8.0_272-8u272-b10-0ubuntu1~18.04-b10,not exposed,not exposed,11,true,true,not exposed,3.0-1.3.0-20201021.102735-55,3.0-1.3.0-20201021.102805-55,2.12-0.2.0,0.15-cuda11,8,30G,2g,*********(redacted),27299256729,true,27299256729,1.8.0_272 (Private Build),nvidia,0,ch.cern.sparkmeasure.FlightRecorderStageMetrics,true,48G,rl-r7525-d32-u38.raplab.nvidia.com,1000,spark://10.150.179.163:7077,25.272-b10,,36867,driver,true,FIFO,"cuda_copy,cuda_ipc,rc,tcp",y,true,https://rl-swiftstack.raplab.nvidia.com,true,11,file:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar,0,driver,false,false,1604515535770,43961,1000,client,1604515471465,,1,,TPC-DS Like Bench,/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,not exposed,1604515472334,file:/opt/spark/history/,2.12-0.18-SNAPSHOT-mod,false,true,not exposed,/usr/local/cuda/lib64:/usr/local/cuda/lib64:/opt/ucx/lib:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/rapids-4-spark_2.12-0.2.0.jar:/home/rladmin/tpc-ds-benchmark/rapids-4-spark-integration-tests_2.12-0.3.0-SNAPSHOT-jar-with-dependencies.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/jars/cudf-0.15-cuda11.jar:/opt/spark/spark-3.0.1-bin-hadoop3.2/spark-measure_2.12-0.18-SNAPSHOT-mod.jar,0,/home/rladmin/tpc-ds-benchmark/stageMetrics/stageMetrics_q10,app-20201104184432-0184,org.apache.hadoop.fs.s3a.S3AFileSystem,file:/opt/spark/history/,rladmin,n,sequential,put_zcopy
