,App ID,App Name,query,AllSuccessful,aLogSuccess,AppSuccessful,FailureCounts,RunType,aQueryTime,elapsedTime,AppDurationSecs,stageDuration,numStages,numTasks,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,submissionTime,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
0,app-20201104183112-0175,TPC-DS Like Bench,q1,True,True,True,0,cpu,19368.0,52416,56.783,58527,41,15284,15529533,2145422,2251374,550274,618,1535497,69408,107732,4571058,0,0,45596952384,365095075,3215937378,100,1054,518563165,230000,1808,228192,8554404574,67371847,8487032727,0,8554404574,518563165,1604514675204,0.138,0.862,0.099,0.004,11770341952,8554405628,0.0,0.0,1.376,1.0,0.874,42.465,10.962,7.967,7.967,7.967
1,app-20201104183211-0176,TPC-DS Like Bench,q2,False,False,True,0,cpu,,32414,36.701,20986,31,12063,8837134,553182,1703162,392847,640,541768,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604514733655,0.063,0.937,0.061,0.0,0,0,,,,,0.54,0.0,0.0,0.0,0.0,0.0
2,app-20201104183249-0177,TPC-DS Like Bench,q3,True,True,True,0,cpu,22734.0,53664,60.291,40468,36,13306,12690659,1114817,2180627,533213,861,853058,15,13854,5453359,0,0,13407092736,1323664431,10551634832,100,2944,120639,76085,574,75511,8997961,67318,8930643,0,8997961,120639,1604514772015,0.088,0.912,0.067,0.0,10560632793,9000905,0.0,0.0,1173.286,1.0,0.894,12.486,9.835,0.008,0.008,0.008
3,app-20201104183351-0178,TPC-DS Like Bench,q4,True,True,True,0,cpu,149280.0,240372,247.17,739202,54,21938,119974725,43292881,2161388,512913,500,22108736,2003701,1367337,6867479,0,0,191263182400,5892822403,94557412352,100,3330,6278841522,1209243,9672,1199571,155874364198,1235775345,154638588853,0,144558172958,6128841522,1604514835618,0.361,0.639,0.184,0.017,250431776550,144558176288,0.0,0.0,1.732,1.078,4.006,178.128,233.233,134.63,145.169,134.63
4,app-20201104183800-0179,TPC-DS Like Bench,q5,True,True,True,0,cpu,47229.0,80275,84.721,100066,43,16618,23298718,5693687,2268625,572627,1015,1154947,40689,162065,11175660,0,0,147850656320,2327157958,14410315944,100,3737,2161073281,260874,2032,258842,30124014823,234013965,29890000858,0,30124014823,2161073281,1604515082517,0.244,0.756,0.05,0.002,44534330767,30124018560,0.0,0.0,1.478,1.0,1.338,137.697,41.476,28.055,28.055,28.055
5,app-20201104183926-0180,TPC-DS Like Bench,q6,True,True,True,0,cpu,22676.0,55128,59.552,53953,45,14765,12304524,1197982,1867916,472366,626,987276,574,38039,4571058,0,0,43686297600,133193857,833434435,52,1134,245582077,101271,776,100495,2201092389,18937556,2182154833,0,2201092389,245582077,1604515168840,0.097,0.903,0.08,0.0,3034526824,2201093523,0.0,0.0,1.379,1.0,0.919,40.686,2.826,2.05,2.05,2.05
6,app-20201104184027-0181,TPC-DS Like Bench,q7,True,True,True,0,cpu,16806.0,49044,53.45,40274,38,13426,14418221,1499543,2281284,539606,1472,955316,35907,26261,8226307,0,0,73891452544,1661575505,21605125944,100,4472,20729733,147880,1158,146722,628347453,4925046,623422407,0,628347453,20729733,1604515229909,0.104,0.896,0.066,0.002,22233473397,628351925,0.0,0.0,35.384,1.0,0.817,68.817,20.707,0.585,0.585,0.585
7,app-20201104184122-0182,TPC-DS Like Bench,q8,False,False,True,0,cpu,,32204,36.644,20966,31,12063,8849050,552909,1699976,398553,929,532296,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604515284910,0.062,0.938,0.06,0.0,0,0,,,,,0.537,0.0,0.0,0.0,0.0,0.0
8,app-20201104184200-0183,TPC-DS Like Bench,q9,True,True,True,0,cpu,112990.0,145453,149.968,1519628,62,29734,107993833,7569657,1951057,499833,539,1405738,0,10423,4571058,0,0,0,129598666156,340144797691,1,1538,17655,17655,149,17506,1116918,9432,1107486,0,1116918,17655,1604515323213,0.07,0.93,0.013,0.0,340145914609,1118456,0.0,0.0,304120.962,1.0,2.424,0.0,316.786,0.001,0.001,0.001
9,app-20201104184432-0184,TPC-DS Like Bench,q10,True,True,True,0,cpu,27029.0,59994,64.305,68915,42,16179,15100371,1467135,1939124,501170,611,961316,13168,65691,29089409,0,0,79490449408,620583358,1350591759,100,4267,612949855,156320,1235,155085,1223864982,10238474,1213626508,0,1223864982,612949855,1604515474670,0.097,0.903,0.064,0.001,2574456741,1223869249,0.0,0.0,2.104,1.0,1.0,74.031,2.398,1.14,1.14,1.14
10,app-20201104184538-0185,TPC-DS Like Bench,q11,True,True,True,0,cpu,57788.0,89830,94.502,208400,48,18834,37119342,7589427,2091118,522003,618,6368251,702329,335517,4921532,0,0,164419636800,4182849091,31515619088,100,3348,4398222387,813643,6397,807246,65533355045,530326865,65003028180,0,58743640301,4308222387,1604515540741,0.204,0.796,0.172,0.019,97048974133,58743643649,0.0,0.0,1.652,1.116,1.497,153.128,90.384,54.709,61.033,54.709
11,app-20201104184714-0186,TPC-DS Like Bench,q12,True,True,True,0,cpu,14161.0,45892,50.206,35334,38,13033,9958993,899475,1838892,464279,1046,709336,689,18137,4571058,0,0,33787938560,20957605,192507387,100,12476,20744569,45068,365,44703,264137840,2290835,261847005,0,264137840,20744569,1604515636931,0.09,0.91,0.071,0.0,456645227,264150316,0.0,0.0,1.729,1.0,0.765,31.467,0.425,0.246,0.246,0.246
12,app-20201104184806-0187,TPC-DS Like Bench,q13,False,False,True,0,cpu,,32884,37.156,21440,31,12063,8804884,550880,1661662,397509,784,496568,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604515688617,0.063,0.937,0.056,0.0,0,0,,,,,0.548,0.0,0.0,0.0,0.0,0.0
13,app-20201104184844-0188,TPC-DS Like Bench,q14a,False,False,True,0,cpu,,33252,39.998,21867,31,12063,8886698,547804,1669320,389397,665,488800,0,0,4571058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604515727459,0.062,0.938,0.055,0.0,0,0,,,,,0.554,0.0,0.0,0.0,0.0,0.0
14,app-20201104184926-0189,TPC-DS Like Bench,q14b,False,False,True,1,cpu,,365847,369.554,471497,50,20349,44491509,18766449,1973855,507229,955,3479031,346813,151405,12401115,4920412,1207959552,638961844224,17634024863,60438137521,0,0,8595330723,771466,6032,765434,26769966193,212154661,26557811532,0,27126124398,8795004910,1604515768940,0.422,0.578,0.078,0.008,87208103714,27126124398,0.0,0.014,3.215,0.987,6.097,595.08,81.219,25.263,24.931,25.263
