query,numtasks,elapsedTime,duration,schedulerDelayTime,executorRunTime,executorCpuTime,executorDeserializeTime,executorDeserializeCpuTime,resultSerializationTime,jvmGCTime,shuffleFetchWaitTime,shuffleWriteTime,gettingResultTime,resultSize,diskBytesSpilled,memoryBytesSpilled,peakExecutionMemory,recordsRead,bytesRead,recordsWritten,bytesWritten,shuffleRecordsRead,shuffleTotalBlocksFetched,shuffleLocalBlocksFetched,shuffleRemoteBlocksFetched,shuffleTotalBytesRead,shuffleLocalBytesRead,shuffleRemoteBytesRead,shuffleRemoteBytesReadToDisk,shuffleBytesWritten,shuffleRecordsWritten,executorTimeRatio,cpuTimeRatio,ioTimeRatio,jvmGCRatio,shuffleFetchWaitTimeRatio,totalBytesRead,totalBytesWritten,diskBytesSpilledRatio,memoryBytesSpilledRatio,totalBytesIORatio,shuffleBytesIORatio,elapsedTime_minutes,peakExecutionMemory_GB,totalBytesRead_GB,totalBytesWritten_GB,shuffleTotalBytesRead_GB,shuffleBytesWritten_GB
q1,15284,63377,22594017,304315,20171610,2020161,2117305,513220,787,1189419,243,72899,0,15245,0,0,402984232,365095075,3215937378,100,1054,518563165,230000,1821,228179,8554400487,70598007,8483802480,0,8554400487,518563165,0.8927854661700927,0.10014872387479234,0.8998512761252077,0.05896500081054512,1.2046633858179887e-05,11770337865,8554401541,0.0,0.0,1.3759393697602909,1.0,1.056,0.375,10.962,7.967,7.967,7.967
q10,16179,61130,19283240,318713,17071665,1433929,1892127,471484,601,865576,9446,41577,134,29087704,0,0,1031798784,620583358,1350591759,100,4267,612949855,156320,1258,155062,1223864809,8957780,1214907029,0,1223864809,612949855,0.8853110265702236,0.08399467773061385,0.9160053222693861,0.05070249445499311,0.0005533145126734855,2574456568,1223869076,0.0,0.0,2.1035391926186717,1.0,1.019,0.961,2.398,1.14,1.14,1.14
q11,18834,93301,45014901,326079,42591500,7817172,2096647,524142,675,5556265,61223,273273,0,25413,0,0,822098184,4182849091,31515619088,100,3348,4398222387,813643,6576,807067,65533346803,546592974,64986753829,0,58743632059,4308222387,0.9461644711825535,0.18353831163495063,0.8164616883650494,0.13045478557928225,0.0014374464388434312,97048965891,58743635407,0.0,0.0,1.652076266962454,1.1155821406681263,1.555,0.766,90.384,54.709,61.033,54.709
q12,13033,53099,15313023,284629,13192954,876998,1834903,454228,537,720349,3926,17328,0,10347,0,0,205849568,20957605,192507387,100,12476,20744569,45068,373,44695,264138512,2818684,261319828,0,264138512,20744569,0.8615512430171365,0.06647472582713469,0.9335252741728653,0.05460103931234809,0.0002975830886699067,456645899,264150988,0.0,0.0,1.728730611448631,1.0,0.885,0.192,0.425,0.246,0.246,0.246
q13,12063,38306,15091683,263350,13153974,535125,1674059,386261,300,516536,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8716041809253481,0.04068162214704089,0.9593183778529591,0.03926843705179894,0.0,0,0,,,,,0.638,0.0,0.0,0.0,0.0,0.0
q14a,12063,36499,14035352,270769,12082924,531728,1681124,379754,535,520344,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8608921244012975,0.04400656662245,0.95599343337755,0.04306441056817042,0.0,0,0,,,,,0.608,0.0,0.0,0.0,0.0,0.0
q14b,20347,298844,55534678,335969,53196551,17978941,2001190,493486,891,3447705,210635,127547,77,4089502,4920412,1207959552,8858632192,17634024863,60438137521,0,0,8405066579,771466,6082,765384,26179732195,205162476,25974569719,0,27126124985,8795004909,0.9578978921962958,0.33797192979672686,0.6620280702032731,0.06481068669282714,0.003959561212906453,86617869716,27126124985,5.6805968746782793e-05,0.013945846924666013,3.1931530863290387,0.9651113901995464,4.981,8.25,80.669,25.263,24.382,25.263
q15,12063,35743,13528824,228620,11565699,524072,1733846,377164,659,490122,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8548931525755675,0.0453126092940859,0.9546873907059141,0.04237720521690907,0.0,0,0,,,,,0.596,0.0,0.0,0.0,0.0,0.0
q16,12063,36169,13680095,306999,11710491,535045,1662115,383941,490,477928,0,0,0,4033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8560240992478488,0.045689373741886655,0.9543106262581134,0.04081195229132579,0.0,0,0,,,,,0.603,0.0,0.0,0.0,0.0,0.0
q17,15732,60328,22252993,330205,19963126,2192813,1958898,488463,658,708575,3349,56562,106,24474396,0,0,398456184,841070121,6886961515,100,14681,846062191,190309,1493,188816,16589023536,127935178,16461088358,0,16589023536,846062191,0.8970984712034017,0.10984316784856239,0.8901568321514376,0.03549419063928164,0.00016775929781738592,23475985051,16589038217,0.0,0.0,1.4151504592317137,1.0,1.005,0.371,21.864,15.45,15.45,15.45
