index,query,App ID,aLogSuccess,AppSuccessful,aQueryTime,elapsedTime,AppDurationSecs,aQueryTime_frac
1,q2,app-20201104183211-0176,FALSE,TRUE,,32414,36.701,#DIV/0!
7,q8,app-20201104184122-0182,FALSE,TRUE,,32204,36.644,#DIV/0!
12,q13,app-20201104184806-0187,FALSE,TRUE,,32884,37.156,#DIV/0!
13,q14a,app-20201104184844-0188,FALSE,TRUE,,33252,39.998,#DIV/0!
14,q14b,app-20201104184926-0189,FALSE,TRUE,,365847,369.554,#DIV/0!
15,q15,app-20201104185537-0190,FALSE,TRUE,,34140,38.154,#DIV/0!
16,q16,app-20201104185617-0191,FALSE,TRUE,,33624,37.827,#DIV/0!
23,q23a,app-20201104190454-0198,FALSE,TRUE,,33241,38.455,#DIV/0!
34,q32,app-20201104193010-0209,FALSE,TRUE,,32533,36.871,#DIV/0!
37,q35,app-20201104193246-0212,FALSE,TRUE,,33228,37.52,#DIV/0!
40,q38,app-20201104193521-0215,FALSE,TRUE,,32211,36.442,#DIV/0!
45,q42,app-20201104194153-0220,FALSE,TRUE,,33130,37.176,#DIV/0!
48,q45,app-20201104194448-0223,FALSE,TRUE,,32753,36.947,#DIV/0!
51,q48,app-20201104194737-0226,FALSE,TRUE,,32976,37.609,#DIV/0!
53,q50,app-20201104194927-0228,FALSE,TRUE,,33060,37.382,#DIV/0!
62,q59,app-20201104195800-0237,FALSE,TRUE,,33250,37.637,#DIV/0!
64,q61,app-20201104195944-0239,FALSE,FALSE,,48077,,#DIV/0!
65,q62,app-20201104200039-0240,FALSE,TRUE,,68752,74.372,#DIV/0!
82,q79,app-20201104205059-0257,FALSE,TRUE,,43400,48.056,#DIV/0!
88,q85,app-20201104205819-0263,FALSE,TRUE,,39686,44.371,#DIV/0!
90,q87,app-20201104210007-0265,FALSE,FALSE,,67951,,#DIV/0!
95,q92,app-20201104210734-0270,FALSE,TRUE,,40336,44.91,#DIV/0!
97,q94,app-20201104211151-0272,FALSE,TRUE,,39082,43.758,#DIV/0!
98,q95,app-20201104211237-0273,FALSE,TRUE,,40219,44.738,#DIV/0!
99,q96,app-20201104211323-0274,FALSE,TRUE,,40779,44.972,#DIV/0!
102,q99,app-20201104212128-0277,FALSE,TRUE,,62987,69.635,#DIV/0!
21,q21,app-20201104190050-0196,TRUE,TRUE,19707,106754,113.79,5.417059928
66,q63,app-20201104200155-0241,TRUE,TRUE,19845,89141,95.445,4.49186193
22,q22,app-20201104190246-0197,TRUE,TRUE,27209,121016,127.012,4.447645999
58,q55,app-20201104195352-0233,TRUE,TRUE,10254,42365,46.547,4.131558416
55,q52,app-20201104195113-0230,TRUE,TRUE,10466,42026,46.407,4.015478693
44,q41,app-20201104193941-0219,TRUE,TRUE,30620,120690,129.921,3.941541476
87,q84,app-20201104205720-0262,TRUE,TRUE,13498,52914,57.634,3.920136316
89,q86,app-20201104205905-0264,TRUE,TRUE,14739,55212,59.963,3.745980053
101,q98,app-20201104211738-0276,TRUE,TRUE,57965,209672,228.417,3.617217286
46,q43,app-20201104194231-0221,TRUE,TRUE,12559,45268,49.61,3.604427104
56,q53,app-20201104195200-0231,TRUE,TRUE,12869,45357,49.532,3.524516279
74,q71,app-20201104203119-0249,TRUE,TRUE,25504,89310,96.517,3.501803639
92,q89,app-20201104210418-0267,TRUE,TRUE,15705,54298,58.98,3.457370264
73,q70,app-20201104202927-0248,TRUE,TRUE,30424,104552,110.888,3.436497502
20,q20,app-20201104185956-0195,TRUE,TRUE,14756,47868,52.229,3.243968555
11,q12,app-20201104184714-0186,TRUE,TRUE,14161,45892,50.206,3.240731587
